text	class
- Сынок, если ты съешь еще один кусок торта, ты лопнешь!- Дай мне торт и отойди подальше.	другой
Не все, что жизнь может выкинуть, следует подбирать.	другой
Я вчера ее так ждал, что если она не придет сегодня, то завтра я ее убью.	бытовой
Я вчера ее так ждал, что если она не придет сегодня, то завтра я ее убью.	другой
В любовном треугольнике один угол - общего пользования.	пошлый
Если у тебя прекрасная жена, обалденная любовница, крутая тачка, нет проблем с властями и налоговыми службами, а когда ты выходишь на улицу всегда светит солнце и прохожие тебе улыбаются - скажи нет наркотикам!	другой
Если у тебя прекрасная жена, обалденная любовница, крутая тачка, нет проблем с властями и налоговыми службами, а когда ты выходишь на улицу всегда светит солнце и прохожие тебе улыбаются - скажи нет наркотикам!	бытовой
Инженер советской закалки, чтобы решить неразрешимую задачу, прибегнет к водке и синей изоленте. А его британский коллега возьмет скотч и скотч.	другой
Если по утрам вам не нравится, как вы выглядите, то перестаньте по вечерам делать то, что вам нравится...	бытовой
- Я у вас вчера лампочку энергосберегающую покупал.- Да-да, помню, как же.- Так вот, принес я ее домой, ввернул в плафон - а она не горит!- А вы что хотели? Она же энергосберегающая, вот энергию и бережет.	бытовой
Продам папку с фотографиями.Папка - мой. Фотографии - мамкины.	бытовой
- Как у вас женщин все сложно.- Не сложно! У нас просто все не просто.- И я о том. Вам все усложнить - проще простого.	бытовой
Никогда не связывайтесь с малолетками! Они - как глянцевый журнал... Обложка красивая, а открываешь - статья, статья, статья...	пошлый
- Продаются ли у вас такие спички, чтобы головка была с другой стороны?Ответ продавца:- Таких не держим.Ответ еврейского продавца:- Сейчас посмотрю. На верхней полке завалялась, кажется, одна коробка...	бытовой
- Продаются ли у вас такие спички, чтобы головка была с другой стороны?Ответ продавца:- Таких не держим.Ответ еврейского продавца:- Сейчас посмотрю. На верхней полке завалялась, кажется, одна коробка...	политический
Порой так сильно устаю за день, что даже когда сплю, во сне мне хочется спать.	бытовой
Порой так сильно устаю за день, что даже когда сплю, во сне мне хочется спать.	другой
"- Ну что у вас, студент?- Коньяк.- Ооо... Коньяк это хорошо!- Не-ет. Коньяк - это ""отлично""!"	бытовой
Запретили мат... Сборную России по футболу в Шереметьево встречала молчаливая толпа...	другой
Запретили мат... Сборную России по футболу в Шереметьево встречала молчаливая толпа...	бытовой
