text,class
- Сколько человек здесь работает?- С бригадиром - десять.- А без бригадира?- Вообще никто не работает.,0
"А все вокруг такие невинные, такие правильные и хорошие, что складывается впечатление, что в аду гореть буду я один.",0
"- Официант, ваши музыканты играют на заказ?- За ваши деньги, все что угодно...- Вот деньги. Пускай пока я тут ужинаю, сыграют в карты.",0
"Ничто в доме не хранится столь трепетно, как ненужный хлам под названием ""вдруг пригодится?"".",0
"Женщина моется в общей ванной коммунальной квартиры, а сосед стал на табурет в коридоре и заглядывает через стеклянный верх двери. Она заметила и говорит:- Ну, чего уставился, голой бабы не видел?- Нужна ты мне! Я смотрю, чьим мылом ты моешься!",1
"Альтист целый месяц дирижировал оркестром вместо заболевшего дирижера. Когда дирижер выздоровел, альтист сел на свое место. Сосед его спрашивает:- Где ты пропадал столько времени, болел что ли?",0
"Женщинам приходится пудрить мозги, потому что естественную красоту женских мыслей мужчины не ценят.",0
"Ешьте больше чеснока! Это не помогает против коронавируса, но держит других на необходимом расстоянии.",0
"Все, с завтрашнего дня перестаю откладывать дела на завтра.",0
"- Чем оливье отличается от феминистки?- Несмотря на одинаковую жирность, для людей оливье все-таки полезнее.",1
"В первоначальном варианте басни Крылова просравшая все эуропейка Стрекозюк пришла к хозяйственному и домовитому Муравьеву поклянчить помощи, но услышала: ""Так пойди же поскачи!"".",2
"На литературном вечере молодая поэтесса от волнения произнесла первую строчку своего стихотворения быстро, без выражения.Больше она ничего произнести не смогла, так как зал лег.Стихотворение начиналось так: ""Отруби лихую голову"".",1
- Летом в России лучше всего жить в средней полосе. Осенью в России лучше всего жить на юге.- А зимой?- А зимой в России лучше всего жить не в России!,0
"Мой сосед ведет себя так, словно у меня нет дрели.",0
"В Риме Сцевола держал руку на огне, показывая стойкость духа, а в России люди целыми толпами остаются в помещении после пожарной тревоги.",2
"- У ада и небес есть свои границы, защита, охрана, воины, ворота. Зачем им все это?- Людей боятся, вот и окопались как могли...",0
"Мужчины обычно женятся на надеждах, женщины выходят замуж за обещания. Так как выполнить обещания гораздо легче, чем оправдать чужие надежды, то в жизни больше встречается разочарованных мужчин, чем обманутых женщин.",0
Паломники со всей страны дважды в год стекаются в медкомиссию военкомата номер 35 - каждую весну и осень здесь происходит чудо массового выздоровления.,0
"Бабушка успокаивает пятнадцатилетнюю внучку:- Подумаешь, прыщики у нее на лице! У некоторых они вон, вместо сисек...",1
Правду в глаза лучше говорить по телефону.,0
"- Придумайте рифму к слову ""мэр"".- Вор.",2
"Мальчик-негр спрашивает у своей белой мамы:- Мама, а почему ты белая и все у нас в семье тоже белые, а я черный?- Ой, сынок, я как вспомню ту вечеринку... Скажи спасибо, что не гавкаешь!",1
Ошибка подобна утопленнику: все равно всплывет на поверхность.,0
"Отец маленького Кости приватизировал пансионат на берегу моря. Учитель спрашивает на уроке Костю, сколько существует времен года.- Пять, - отвечает Костя.- Сколько? - удивляется учитель.- Весна, лето, осень, зима и мертвый сезон.",0
"Из мемуаров: ""Я никогда не изменял ни жене, ни любовнице, ни другим своим женщинам"".",0
"За нас с вами, и за хрен с ними!",0
Маленький Мика Хаккинен записался в секцию картинга.Отец его спрашивает:- Ну и чему вас учили на первой тренировке?- Обливаться шампанским.,0
